,PRCP,SNOW
2015-01-01,0.0,
2015-01-02,0.0,
2015-01-03,33.0,
2015-01-04,140.0,
2015-01-05,0.0,
2015-01-06,10.0,30.0
2015-01-10,0.0,
2015-01-11,0.0,
2015-01-12,64.0,48.0
2015-01-22,0.0,
2015-01-23,0.0,
2015-01-24,0.0,
2015-01-25,20.0,
2015-01-26,18.0,
2015-01-27,10.0,10.0
2015-01-28,0.0,
2015-01-29,0.0,
2015-01-30,0.0,
2015-01-31,0.0,
2015-02-02,53.0,15.0
2015-02-03,0.0,
2015-02-04,0.0,
2015-02-05,5.0,25.0
2015-02-12,0.0,
2015-02-13,0.0,
2015-02-14,0.0,
2015-02-15,0.0,
2015-02-16,3.0,5.0
2015-02-17,0.0,
2015-02-18,5.0,10.0
2015-02-22,0.0,
2015-02-23,0.0,
2015-02-24,0.0,
2015-02-25,0.0,
2015-02-26,30.0,61.0
2015-02-27,10.0,30.0
2015-02-28,0.0,
2015-03-01,114.0,157.0
2015-03-02,0.0,
2015-03-03,3.0,
2015-03-04,15.0,
2015-03-10,0.0,
2015-03-11,8.0,
2015-03-12,0.0,
2015-03-13,3.0,
2015-03-17,0.0,
2015-03-18,0.0,
2015-03-19,0.0,
2015-03-20,36.0,
2015-03-21,0.0,
2015-03-22,0.0,
2015-03-23,0.0,
2015-03-24,8.0,
2015-03-25,221.0,
2015-03-26,71.0,
2015-03-27,0.0,
2015-03-28,0.0,
2015-03-29,0.0,
2015-03-30,13.0,
2015-03-31,0.0,
2015-04-01,0.0,
2015-04-02,119.0,
2015-04-03,3.0,
2015-04-04,20.0,
2015-04-05,0.0,
2015-04-06,0.0,
2015-04-07,0.0,
2015-04-08,8.0,
2015-04-10,18.0,
2015-04-11,0.0,
2015-04-12,0.0,
2015-04-17,0.0,
2015-04-18,0.0,
2015-04-19,0.0,
2015-04-20,234.0,
2015-04-21,0.0,
2015-04-22,5.0,
2015-04-23,0.0,
2015-04-24,0.0,
2015-04-25,5.0,
2015-04-26,107.0,
2015-04-28,0.0,
2015-04-29,0.0,
2015-04-30,0.0,
2015-05-01,0.0,
2015-05-02,0.0,
2015-05-03,0.0,
2015-05-04,71.0,
2015-05-05,0.0,
2015-05-06,0.0,
2015-05-07,0.0,
2015-05-08,58.0,
2015-05-09,241.0,
2015-05-10,8.0,
2015-05-11,137.0,
2015-05-14,0.0,
2015-05-15,117.0,
2015-05-16,109.0,
2015-05-19,0.0,
2015-05-20,0.0,
2015-05-21,5.0,
2015-05-22,0.0,
2015-05-23,0.0,
2015-05-24,0.0,
2015-05-25,15.0,
2015-05-28,0.0,
2015-05-29,0.0,
2015-05-30,566.0,
2015-05-31,25.0,
2015-06-04,0.0,
2015-06-05,0.0,
2015-06-06,203.0,
2015-06-07,0.0,
2015-06-08,287.0,
2015-06-09,0.0,
2015-06-10,0.0,
2015-06-11,33.0,
2015-06-12,61.0,
2015-06-13,43.0,
2015-06-14,102.0,
2015-06-15,312.0,
2015-06-16,325.0,
2015-06-17,0.0,
2015-06-18,81.0,
2015-06-19,64.0,
2015-06-20,0.0,
2015-06-21,211.0,
2015-06-22,0.0,
2015-06-23,0.0,
2015-06-24,25.0,
2015-06-25,503.0,
2015-06-26,25.0,
2015-06-27,368.0,
2015-06-28,0.0,
2015-06-29,229.0,
